text,intent
hi,greeting
hello,greeting
hey,greeting
hello ji,greeting
salam,greeting
assalamualaikum,greeting
assalam o alaikum,greeting
aoa,greeting
salam bhai,greeting
hi there,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
subah bakhair,greeting
hey vango,greeting
hello vango plus,greeting
hi bot,greeting
hello assistant,greeting
hey anyone there,greeting
koi hai,greeting
kya haal hai,greeting
kaise ho,greeting
how are you,greeting
hii,greeting
helloo,greeting
heyy,greeting
salaam ji,greeting
hello sir,greeting
hello madam,greeting
hi can you help me,greeting
jee salam,greeting
walaikum assalam,greeting
ji hello,greeting
hi vango,greeting
good day,greeting
hey how is it going,greeting
salam kaisay hain aap,greeting
hello mujhe kuch poochna tha,greeting
hi mujhe ek sawal poochna hai,greeting
hello there,greeting
bye,goodbye
goodbye,goodbye
see you,goodbye
see you later,goodbye
allah hafiz,goodbye
khuda hafiz,goodbye
khuda hafiz bhai,goodbye
ok bye,goodbye
bye bye,goodbye
chalo phir milte hain,goodbye
theek hai allah hafiz,goodbye
talk to you later,goodbye
ttyl,goodbye
good night,goodbye
shab bakhair,goodbye
take care,goodbye
phir baat karte hain,goodbye
ok bye for now,goodbye
i am done bye,goodbye
bas itna hi tha bye,goodbye
chalta hun,goodbye
chalti hun,goodbye
ab main jati hun,goodbye
that is all goodbye,goodbye
have a nice day,goodbye
you too bye,goodbye
ok thanks bye,goodbye
alvida,goodbye
baad mein baat karte hain,goodbye
ab chalte hain,goodbye
bye vango,goodbye
allah hafiz ji,goodbye
gn,goodbye
catch you later,goodbye
milte hain phir,goodbye
chaliye phir,goodbye
signing off,goodbye
bas theek hai bye,goodbye
ok done khuda hafiz,goodbye
good night vango,goodbye
ok allah hafiz,goodbye
thanks,thanks
thank you,thanks
thank you so much,thanks
thanks a lot,thanks
thx,thanks
ty,thanks
shukriya,thanks
bohat shukriya,thanks
shukria,thanks
bht shukriya,thanks
jazakallah,thanks
jazak Allah khair,thanks
mehrbani,thanks
meharbani,thanks
bohat mehrbani,thanks
thanks bhai,thanks
thank you very much,thanks
thanks for your help,thanks
great thanks,thanks
ok thanks,thanks
theek hai shukriya,thanks
acha shukriya,thanks
perfect thank you,thanks
awesome thanks,thanks
appreciate it,thanks
much appreciated,thanks
thanks that helped,thanks
shukriya mujhe jawab mil gaya,thanks
bohat acha shukriya,thanks
thnx,thanks
thanku,thanks
thank u,thanks
bht bht shukriya,thanks
aap ka bohat shukriya,thanks
helpful thanks,thanks
got it thanks,thanks
samajh agaya shukriya,thanks
ok samajh gaya thanks,thanks
very helpful thank you,thanks
you are the best thanks,thanks
shukriya ji,thanks
what can you do,help_capabilities
help,help_capabilities
help me,help_capabilities
i need help,help_capabilities
how can you help me,help_capabilities
what can i ask you,help_capabilities
what do you do,help_capabilities
kya kar sakte ho,help_capabilities
aap kya kar sakte hain,help_capabilities
mujhe madad chahiye,help_capabilities
madad karo,help_capabilities
meri madad karein,help_capabilities
aap meri kis tarah madad kar sakte hain,help_capabilities
kya kya poocha ja sakta hai,help_capabilities
tum kya ho,help_capabilities
who are you,help_capabilities
aap kaun hain,help_capabilities
are you a bot,help_capabilities
kya aap bot hain,help_capabilities
what questions can i ask,help_capabilities
show me options,help_capabilities
menu,help_capabilities
list of things you can do,help_capabilities
kis cheez mein help karte ho,help_capabilities
how does this chatbot work,help_capabilities
yeh chatbot kaise kaam karta hai,help_capabilities
can you assist me,help_capabilities
kya aap meri help kar sakte hain,help_capabilities
guide me please,help_capabilities
mujhe guide karein,help_capabilities
features batao,help_capabilities
tell me your features,help_capabilities
what can this assistant do,help_capabilities
is assistant ka kya kaam hai,help_capabilities
mujhe samajh nahi aa raha kahan se shuru karun,help_capabilities
i am confused what to ask,help_capabilities
help menu,help_capabilities
options dikhao,help_capabilities
kin topics par baat kar sakte hain,help_capabilities
how do i use this chat,help_capabilities
is chat ko kaise use karun,help_capabilities
what time is pickup,pickup_time
when will the van pick up my child,pickup_time
pickup time,pickup_time
what is my child's pickup time,pickup_time
van kab aye gi,pickup_time
van kab aegi,pickup_time
pickup kitne baje hoga,pickup_time
subah van kitne baje aati hai,pickup_time
bache ko lene van kab ayegi,pickup_time
morning pickup time batao,pickup_time
mere bache ka pickup time kya hai,pickup_time
pickup time kya hai,pickup_time
kab uthaye ga driver bache ko,pickup_time
what time does the van come in the morning,pickup_time
when does the van arrive at my stop,pickup_time
at what time will van reach my home,pickup_time
van ghar par kitne baje pohanchti hai,pickup_time
mera bacha kitne baje pick hoga,pickup_time
pickup timing,pickup_time
pick up ka time bata do,pickup_time
tell me the morning pickup time for Ali,pickup_time
what time should my son be ready,pickup_time
bacha kitne baje tayyar rakhna hai,pickup_time
van subah kab ati hai,pickup_time
kal pickup kitne baje hai,pickup_time
tomorrow's pickup time,pickup_time
aaj pickup kab hai,pickup_time
today pickup time please,pickup_time
soban ka pickup time kya hai,pickup_time
Ali Khan ki van kab ayegi,pickup_time
what time will they collect my daughter,pickup_time
meri beti ko van kitne baje lene aayegi,pickup_time
van ka subah ka time kya hai,pickup_time
morning van timing,pickup_time
pickup schedule for my child,pickup_time
when is the morning van,pickup_time
kitne baje tak ready rehna hai,pickup_time
pickup ka waqt,pickup_time
van ke ane ka time,pickup_time
what is the pickup time for musfira,pickup_time
what time is drop off,dropoff_time
when will my child be dropped home,dropoff_time
